,activites,backgrounds,description,duration,end,languages,location,natioinalities,organization,positions,salary,selections,skills,start,url
133,Manipulating and editing film pieces in a way that is invisible to the audience,Preferred Graphic design,"        the RiseUp project is a 6 weeks to 18 months paid professional internship in all things business,across Egypt`s top startups, SMEs, and MNCs. this project was born out of our belief in the power the corporate sector has in changing the world. imagine how big these companies can grow to boost the economy for a brighter Egypt      ",6 Weeks,01-Feb-18,No preferences,"Damietta, Egypt",No preferences,Damietta's office,15,2000 EGP ,"we contact the EP within 24 hours after applying for the opportunity- the interview will be within 48 hours of contacting him\ her, the interview results will be within 24 hours after the interview, after that the matching process can be be done in one day maximum",Preferred Creativity,15-Dec-17,http://aiesec.org/opportunity/845555
134,,,,,,,,,,,,,,,http://aiesec.org/opportunity/843780
135,Actively doing sales via different channels,"Preferred Business administration, Economics, Marketing","        Dalou is a young company that offers a breakfast delivery service with a easy online order system. The interns main task is sales: approaching companies physically and maintain the relationships. The aim is to increase their visibility in the market. Dalou is dependent on each person to help with everyday tasks, including social media management, checking the packing of the orders and making deliveries by a cardio bike. The team is in a challenging phase and requires effort and motivation.      ",Unpaid,9 Weeks,No preferences,"Zürich, Switzerland","Preferred Austria, Germany",Dalou,04-Sep-17,1,Computer Provided,"Preferred Sales, Presentation skills",12-Nov-17,http://aiesec.org/opportunity/843771
136,Calculating salaries,Required Human Resources Preferred Law,"        The intern it will be responsible with delivery sesions about legality in Germany, the intern has to know the external laws, with other contries, he has to know the laws about temporal work in construction, to know Germany work code. The inter has to have 1 year experience in Human Resurces or Legality. Has to to provide work contract, Making available contract.      ",Unpaid,8 Weeks,No preferences,"PITESTI, ",Required Germany,AIESEC Pitesti,01-Sep-17,1,Computer Provided,"Required Adaptability Preferred Facilitation, Human Resources",31-Oct-17,http://aiesec.org/opportunity/843281
137,Improve communication skills,"Preferred Marketing, Business administration",        Nutrium develops a nutrition software where professionals and patients work together- Develop a analysis of start up current and ideal state regarding marketing and market positioning- Develop implementation plan during the 2 months of the project to acquire the Startup’s objective- Implement material and marketing plan for Startup- Develop new channels and communication strategies to increase the Startup’s market reach- Implement and measure the strategies of the project’s goal.      ,12 Weeks,24-Nov-17,No preferences,"Braga, Portugal",No preferences,Nutrium,1,Unpaid,"AIESEc will send your Cv to the company and if they like it, arrange an interview via Skype.","Required Windows PC usage Preferred Presentation skills, Leadership, Project Management, Sales",01-Sep-17,http://aiesec.org/opportunity/841751
138,Web platform design,"Preferred Graphic design, Software development and programming",        Web platform designer focused on user experience. Project developer and project management      ,8 Weeks,10-Dec-17,No preferences,"Lima, Peru",No preferences,PIZARRA 21 E.I.R.L,1,Unpaid,aiesec,"Preferred Software Engineering, Adaptability",10-Oct-17,http://aiesec.org/opportunity/840923
139,,,,,,,,,,,,,,,http://aiesec.org/opportunity/840832
140,"Sketching, Tracing and Digital drawing",Required Graphic design Preferred Arts,"        We seek diligent, creativity-driven mavericks! An artist with an academic background of applied arts, has knowledge of graphic platforms Adobe Illustrator, Photoshop and Corel draw will suffice our requirement. If you have attained finesse in digital drawing, then we will welcome you with open arms. You being a photographer will be an added advantage.      ",13 Weeks,19-Nov-17,No preferences,"HYDERABAD, INDIA",No preferences,The Tribal Mantra,2,10000 INR ,There will be two interviews One will be taken by AIESEC in HyderabadSecond will be taken by TN.For More Info Contact Mayank Naiknavare+91 9550678079,"Preferred Adobe Illustrator, Photoshop, Leadership",19-Aug-17,http://aiesec.org/opportunity/840593
141,Own country P/L (profit and loss statement) and drive revenues to break even,"Preferred Marketing, Business administration","        You need to have STUDENT STATUS for the whole duration of this internship.Spanish, Slovak, Czech, Romanian, British, Norwegian, Swedish, German, Belgian, French, Dutch, Finnish, Danish native speakers!We try to match you with a market for which you have native language skills and local history. Your job is to learn to understand the local customer by test-selling and talking to them, and using that knowledge to refine they we way service or communicate with them.      ",700 EUR per Month ,13 Weeks,No preferences,"Budapest, Magyarország","Preferred Denmark, Finland, Norway, Sweden, United Kingdom, Slovakia, Spain, Czech Republic, Germany",eOptika Kft,10-Aug-17,10,Computer Provided,"Required Internet usage, Windows PC usage Preferred Sales, Project Management",10-Nov-17,http://aiesec.org/opportunity/840325
142,"Set digital mkt strategies using all necesseary tools (e.g. website, emails, social media, blog)","Preferred Business administration, Marketing","        At the end of the internship, the intern be able to setup and monitor a capaign by himself. Adwords fundamental      ",9 Weeks,17-Nov-17,No preferences,"Athens, Greece",No preferences,f.society,2,Unpaid,~ 2-minutes video ~ Evaluation from AIESEC ~ Interview from start-up,"Required Public Relations Preferred Python, Presentation skills, Windows PC usage, Project Management, Event Planning, Database Management, Sales",11-Sep-17,http://aiesec.org/opportunity/839836
143,Develop the software of the company and improve the process of the organization,Preferred Systems and Computing Engineering,        - Develop the software of the company and improve the process of the organization - Web development to guarantee the optimization of the virtual media- Development of projects that allow the improvement of the company related to ITs      ,Unpaid,13 Weeks,No preferences,"Lima, Peru","Preferred Portugal, Colombia, Argentina",DISGO,07-Aug-17,1,Computer Provided,"Preferred HTML 5, HTML, CSS, C#, SQL, Javascript, Boostrap, MongoDB, UX design, Mobile Development",06-Nov-17,http://aiesec.org/opportunity/839667
144,Real estate management,Preferred Public relations,"        > Training and development> Online research and content management> Relationship management> Routine filing, photocopying and printing of documents> Perform any other duties as required      ",Unpaid,8 Weeks,No preferences,"Nairobi, Kenya","Preferred Tanzania, Ethiopia",Paradigm Projects,01-Sep-17,2,Computer Provided,"Preferred Presentation skills, Self-Confidence, Organisational Management, Handling Pressure",31-Oct-17,http://aiesec.org/opportunity/839611
145,,,,,,,,,,,,,,,http://aiesec.org/opportunity/839510
146,,,,,,,,,,,,,,,http://aiesec.org/opportunity/838904
147,,,,,,,,,,,,,,,http://aiesec.org/opportunity/838779
148,"Develop an analysis of Venezuela, identifying the main bottlenecks and propose possible solutions.","Preferred Business administration, Marketing, Graphic design","        Zifeng International Language School, it's an academy that allows students learn English and other languages in a challenging and friendly environment. They are looking young talent with marketing and negotiation skills, capable of helping them increase their national impact. Through LINK UP, empowered by AIESEC in Barquisimeto, the intern will learn how an international languages Academy works, and how to develop sustainable sales & market strategies, build alliances and more.TN FEE: $50USD      ",Unpaid,12 Weeks,No preferences,"Barquisimeto, Venezuela","Preferred Uruguay, Mexico, Argentina, Chile, Ecuador",Zifeng International Language School C.A,30-Oct-17,1,Computer Provided,"Required Digital Marketing, Market Research, Internet usage, Strategic Planning Preferred Content Marketing, Business Intelligence, Creativity, Adaptability, Solution Orientation",26-Jan-18,http://aiesec.org/opportunity/838663
149,"build and execute social media strategy through competitive research,benchmarking and messaging","Preferred Communication & journalism, Media Arts, Public relations",        Grab this great opportunity!Get to know with new ideas within a friendly work environment.Work as volunteer in a greek company with great huge experience. Build strong clients relationships through social media interaction and audience identification. Anlyze web traffic metrics and suggest solutions to boost web presence.      ,6 Weeks,15-Oct-17,No preferences,"athens, greece",No preferences,Angel Capital Ventures,3,Unpaid,"1. AIESEC team evaluates your CV. If it meets all requirements, we will send a email for proving that you are ready to continue the selection (2 days) 2. We set an interview between you and the Opportunity Manager of AIESEC , who will evaluate your skills in order to understand if you are competent for the position (1 day) 3. We send your CV to the start up and company evaluates it (2-3 day) 4. We set the ACCEPT and begin an official match process in EXPA (1 day)","Preferred Android, Team Management, Adaptability, Creativity, Leadership, Critical Thinking",01-Sep-17,http://aiesec.org/opportunity/838454
150,"Develop an analysis of Venezuela, identifying the main bottlenecks and propose possible solutions.","Preferred Business administration, Marketing, Graphic design","        Zifeng International Language School, it's an academy that allows students learn English and other languages in a challenging and friendly environment. They are looking young talent with marketing and negotiation skills, capable of helping them increase their national impact. Through LINK UP, empowered by AIESEC in Barquisimeto, the intern will learn how an international languages Academy works, and how to develop sustainable sales & market strategies, build alliances and more.TN FEE: $50USD      ",Unpaid,12 Weeks,No preferences,"Barquisimeto, Venezuela","Preferred Uruguay, Mexico, Argentina, Chile, Ecuador",Zifeng International Language School C.A,28-Aug-17,1,Computer Provided,"Required Digital Marketing, Market Research, Internet usage, Strategic Planning, Problem Solving Preferred Content Marketing, Business Intelligence, Creativity, Adaptability, Solution Orientation",24-Nov-17,http://aiesec.org/opportunity/838010
151,,,,,,,,,,,,,,,http://aiesec.org/opportunity/836396
152,,,,,,,,,,,,,,,http://aiesec.org/opportunity/835859
153,Customer Analytics for the client,Required Marketing Preferred Computer sciences,        This project is an opportunity for students to develop their entrepreneurial potential and explore their professional skills in an international team through working in European startups which is a fast changing and agile environment. They should bring to the venture diversity that will lead to most different ideas and solutions and be part of  shaping the new generation of entrepreneurs from tomorrow.      ,Unpaid,8 Weeks,No preferences,"Bratislava, Slovakia","Required Poland, Germany, Austria",Marketing & Netforce,01-Sep-17,1,Computer Provided,"Required Digital Marketing, Content Marketing",31-Oct-17,http://aiesec.org/opportunity/835640
154,,,,,,,,,,,,,,,http://aiesec.org/opportunity/835186
155,,,,,,,,,,,,,,,http://aiesec.org/opportunity/834757
156,Design the graphic identity of the company,Preferred Graphic design,"        •	Desarrollo de piezas gráficas para redes sociales•	Desarrollo de look and feel de páginas web•	Creación, junto con el equipo creativo, de campañas digitales.      ",Unpaid,13 Weeks,No preferences,"lima, peru","Preferred Brazil, Mexico, Colombia",Mullenlowe,07-Aug-17,1,Computer Provided,"Required Adobe Illustrator, Photoshop, HTML 5, Javascript",06-Nov-17,http://aiesec.org/opportunity/834543
157,-Brazil and Recife's culture,"Preferred Business administration, Human Resources, Entrepreneurship","        -Develop a SWOT analyses about the Startup, mapping the main gaps in terms of business and management inside the organization;-Analyze the current and ideal state of the startup in terms of strategic planning, product development, finance projecting and HR plan;-Planning development of main needs from the Startup in terms of company administration and support for managers;-Implementation of the plan with short feedbacks period and measurements evaluation;      ",Unpaid,13 Weeks,No preferences,"Recife, ","Preferred Poland, France, Germany, United Kingdom",AIESEC RECIFE,01-Oct-17,1,Computer Provided,"Preferred Database Administration, Organisational Management, Time Management, Project Management",31-Dec-17,http://aiesec.org/opportunity/834243
158,Implementation of the company's online communication strategy,"Preferred Marketing, Communication & journalism, Design",        Support vanitech as start-up to built all their marketing plan to make it relevant. Apart of that you have to give them the opportunity to put in practice communication and social strategies to promote the company.      ,Unpaid,6 Weeks,No preferences,"Tolima, Colombia","Preferred Mexico, Brazil, United Kingdom",vanitech,01-Sep-17,1,Computer Provided,"Preferred Adaptability, Media Planning, Social Media Management",13-Oct-17,http://aiesec.org/opportunity/834219
159,"Learn about customers' trend through both numbers, charts and qualitative data;","Preferred Economics, Marketing","        The intern will be working as a Growth Hacker in Marketing department of TESSE, Inc. TESSE, Inc. is creating a product called Tesse, which is an expert search engine which allows users to search and connect with global experts by a keyword of skills or expertises. Tesse aims to bring you a huge source of live knowledge from live human beings to become the site you use daily alongside with Google.      ",100 USD per Month ,11 Weeks,No preferences,"Ho Chi Minh, Vietnam",Preferred United States,"TESSE, Inc.",14-Aug-17,2,Computer Provided,"Preferred Digital Marketing, Content Marketing, Market Research",05-Nov-17,http://aiesec.org/opportunity/833919
160,Help Development Team by Coding parts of websites and web applications,Required Software development and programming,"        Whilst training will be provided on-site the intern is expected to familiarise with the core technologies used within the company, at the very least ensure a level of fluency in: HTML, CSS & Javascript (JQuery + Ajax). The basics of GIT, PHP & SQL would be considered a bonus. The intern will be provided with basic materials relating to the underlying systems and technologies used. Whilst we don't expect full understanding of these technologies at least some familiarization would be expected.      ",12 Weeks,24-Nov-17,No preferences,"San Gwann, Malta",No preferences,Maze Digital Ltd.,2,Unpaid,"We will go through all applications and email those that match the specifications we require for an interview. The interview is split into two parts: one part with general questions and another part with questions on the specific role the candidate applies for. After the interview, we will let the applicant know whether they have passed the interview or not via email. If they have, their profile will be sent to the company who may contact them for a second interview or a phone call.","Required Internet usage, CSS, HTML, XML Preferred Javascript, PHP, SQL, Ajax, MySQL, MacOS, Mac usage, Database Management",01-Sep-17,http://aiesec.org/opportunity/833670
161,Work with team to Devise & Tweak Marketing Strategy,Required Marketing Preferred Software development and programming,        Business Development through Digital Marketing      ,12 Weeks,24-Nov-17,No preferences,"San Gwann, Malta",No preferences,Maze Digital Ltd.,1,Unpaid,"We will go through all applications and email those that match the specifications we require for an interview. The interview is split into two parts: one part with general questions and another part with questions on the specific role the candidate applies for. After the interview, we will let the applicant know whether they have passed the interview or not via email. If they have, their profile will be sent to the company who may contact them for a second interview or a phone call.","Required Digital Marketing, Sales, Internet usage Preferred Public Relations, Relationship Management, Organisational Management, Presentation skills, Project Management, Photoshop",01-Sep-17,http://aiesec.org/opportunity/833333
162,#NAME?,"Preferred Entrepreneurship, Marketing","        You will be responsible for Digital Marketing. You should have an understanding of Web technologies like HTML5/CSS, WordPress, Jquery and Semantic web. No experience is required. A general understanding of those technologies enable to write content about it based on the specifications the startup responsible will send you.      ",7 Weeks,24-Nov-17,No preferences,"Thessaloniki, Greece",No preferences,Redshift,1,Unpaid,The applicant has to create a short video (3-5 minutes duration). In the video they have to:- Introduce themselves.- Talk about their studies and experience in the field.- Mention what their knowledge of the things mentioned above ( role description and main activities).- Refer to how they can contribute and why are they motivated to participate.Good luck!,"Preferred Leadership, Adaptability, Creativity, Windows PC usage, Internet usage",30-Sep-17,http://aiesec.org/opportunity/833121
163,- Creation of articles in the startup's blog regargind web developing,"Preferred Computer sciences, Entrepreneurship, Marketing","        You should have an understanding of Web technologies like HTML5/CSS, WordPress, Jquery and Semantic web. No experience is required. A general understanding of those technologies enable to write content about it based on the specifications the startup responsible will send you.      ",7 Weeks,24-Nov-17,No preferences,"Thessaloniki, Greece",No preferences,Redshift,1,Unpaid,The applicant has to create a short video (3-5 minutes duration). In the video they have to:- Introduce themselves.- Talk about their studies and experience in the field.- Mention what their knowledge of the things mentioned above ( role description and main activities).- Refer to how they can contribute and why are they motivated to participate.Good luck!,"Required Internet usage, Windows PC usage Preferred Adaptability",30-Sep-17,http://aiesec.org/opportunity/833111
164,Promote target country customers through offline and online channel,"Preferred Media Arts, Marketing","        ? Description about this TN and internshipWorddoor is a international company with great creativity, established in 2009 and located in Shanghai. Wordoor create a language communication community to make everyone in it are both learner and teacher based on their native language. They believe learn different language  is the best approach to make  culture exchange happen. During the work of this company, creative idea is necessary. Subsidy revenue offered is about 4000 RMB/Month.      ",552 USD per Month ,8 Weeks,No preferences,"Shanghai, China","Preferred Algeria, Japan, Korea, United Kingdom, Armenia, Spain",Shanghai Wordoor Techonology,30-Sep-17,1,Computer Provided,"Preferred Social Media Management, Digital Marketing, Market Research",30-Nov-17,http://aiesec.org/opportunity/832051
165,"Understanding, defining and document the clients' business objects","Required Business administration, Marketing","        The intern will be working in the business development sector, creating marketing and business strategies for the Chinese market. The intern will be responsible for contacting different stakeholders and developing materials      ",14 Weeks,17-Nov-17,No preferences,"Athens, Greece",No preferences,Genius Real Estate,1,Unpaid,"1. AIESEC team evaluates your CV. If it meets all requirements, we will send a email for proving that you are ready to continue the selection (2 days) 2. We set an interview between you and the Opportunity Manager of AIESEC , who will evaluate your skills in order to understand if you are competent for the position (1 day) 3. We send your CV to the start up and company evaluates it (2-3 day) 4. We set the ACCEPT and begin an official match process in EXPA (1 day)","Required Windows PC usage, Internet usage, Sales, Market Research, Public Relations",11-Aug-17,http://aiesec.org/opportunity/831835
166,1. Create a visual design framework on every social impact project conducted,"Preferred Marketing, Graphic design",        GoArchipelago is a travel community who brings the real life experience from the local’s eye. You will be part of impact-driven-change-makers movement. You'll have a chance to be part of internal conversations and get to learn more about the social innovation ecosystem in Indonesia. The job required a communication skill through impactful graphic design. You will be stationed at the office to involve in daily operation and series of strategic development.      ,13 Weeks,10-Nov-17,No preferences,"Bandung, Indonesia",No preferences,Go Archipelago,1,Unpaid,"-Please make an A4 page essay contains: how can you contribute towards SDGs through this project, your biggest reason in choosing Indonesia, and explanation about the sustainability of the project from your perspective, and send it to opportunity manager ","Preferred Content Marketing, Digital Marketing, Corel Draw, Adobe Illustrator",10-Aug-17,http://aiesec.org/opportunity/831696
167,"1. Conceptualize, design, and implement the backend for new features in our systems and services","Preferred Business administration, Marketing, Computer engineering",        GoArchipelago is a travel community who brings the real life experience from the local’s eye. You will be part of impact-driven-change-makers movement. You'll have a chance to be part of internal conversations and get to learn more about the social innovation ecosystem in Indonesia. The job required a creative technology to support impact we are fostering to achieve. You will be stationed at the office to involve in daily operation and series of strategic development      ,Unpaid,13 Weeks,No preferences,"Bandung, Indonesia","Preferred Italy, Germany, Japan, France, Russia, Korea, Canada",Go Archipelago,10-Aug-17,1,Computer Provided,"Preferred Content Marketing, Digital Marketing, Business Intelligence, Data Engineering, Software Engineering",10-Nov-17,http://aiesec.org/opportunity/831695
168,"1. Conceptualize, design and implement the front end for new features in our systems and services","Preferred Business administration, Marketing, Computer engineering",        GoArchipelago is a travel community who brings the real life experience from the local’s eye. You will be part of impact-driven-change-makers movement. You'll have a chance to be part of internal conversations and get to learn more about the social innovation ecosystem in Indonesia. The job required a creative technology to support impact we are fostering to achieve. You will be stationed at the office to involve in daily operation and series of strategic development      ,Unpaid,13 Weeks,No preferences,"Bandung, Indonesia","Preferred Canada, Russia, Tunisia, France, Italy, Japan, Germany",Go Archipelago,10-Aug-17,2,Computer Provided,"Preferred Business Intelligence, Content Marketing, Digital Marketing, Data Engineering, Software Engineering",10-Nov-17,http://aiesec.org/opportunity/831693
169,Support learning activities in school,"Required Arts, Education, Languages","        As a Teaching Assistant, your main responsibilities will be to follow and assist teachers in classes with instructions. Preparing lectures and making conversation courses for both kids and adults attending a school of linguistics.      ",6 Weeks,17-Oct-17,No preferences,"Belgrade, Serbia",No preferences,Centar Matilda,1,Unpaid,"Upon applying, our local committee member will contact you within 24 hours and ask of you to send a motivational letter and your CV in .pdf format. After receiving, he/she will schedule an interview with you. Proceeding the selection process, your CV will be sent to the company. The company may also require another interview with the you, after which will be made the final decision.","Required Language Teaching, Creativity Preferred Leadership",04-Sep-17,http://aiesec.org/opportunity/827013
170,"- Execute tests, collect and analyze data,",No preferences,"        We are looking for an SEM expert to manage all pay-per-click (PPC) marketing activities.The Search Engine Marketing (SEM) Specialist will manage all paid search campaigns on Google, Yahoo and Bing, as well as other search and display marketing engines. A successful SEM Specialist will effectively manage the paid search budget and work with the SEO and Marketing team in order to maximize ROI, drive traffic, and customers.If you believe that you are the one, please don't hesitate to apply.      ",01-Oct-17,      No preferences          ,No preferences,"Cairo, Egypt",No preferences,Premier mideast academy,8 Weeks,30-Nov-17,No preferences,No preferences,                            Food Provided                                            Not covered                        ,http://aiesec.org/opportunity/826227
171,"Draft copies for social media posts, marketing messages and publicity collateral","Preferred Business administration, Marketing","        Please apply by clicking the Apply button on the right AND apply at podio.com/webforms/4710126/369491/ We regret that only applications submitted on both platforms will be considered.Hcook is looking for an energetic intern to solidify their presence in Singapore. This person will be supporting the Community Team by producing content for local social media platforms, planning Community meet-ups and large-scale events, curating in-app content and coming up with effective campaigns and copy.      ",750 SGD per Month ,25 Weeks,No preferences,"Singapore, Singapore","Preferred New Zealand, Australia, United Kingdom, Hong Kong",HCook,01-Sep-17,1,Computer Provided,"Required Internet usage, Windows PC usage, Mac usage",01-Mar-18,http://aiesec.org/opportunity/825630
172,,,,,,,,,,,,,,,http://aiesec.org/opportunity/824589
173,,,,,,,,,,,,,,,http://aiesec.org/opportunity/818377
174,,,,,,,,,,,,,,,http://aiesec.org/opportunity/817381
175,Customer Service,Preferred Tourism & hotel management,"        - Providing a friendly, welcoming and efficient service to all guests, in line with our vision and values on customer satisfaction.- To assist in dealing with customer complaints in an effective and courteous manner, providing or seeking solutions as quickly as possible.- To undertake all training as required (eg, first aid, health and safety, customer service).- Ensuring the best experience of all customers      ",Unpaid,9 Weeks,No preferences,"Panama City, Panama","Preferred Venezuela, Mexico, Peru, Argentina, Brazil, Colombia, Costa Rica",Selina Hostels,10-Aug-17,12,Computer Provided,"Preferred Client servicing, Solution Orientation, Time Management",15-Oct-17,http://aiesec.org/opportunity/817216
176,Coding front and back-end interfaces for our web applications;,"Required Computer sciences, Computer engineering","        Olive Studio:We design web sites that can be viewed on desktops as well as mobile devices, or we can take it a step further, and design a dedicated mobile site that your customers can be automatically directed to while on-the-go.Want to join our team ?      ",11 Weeks,19-Nov-17,No preferences,"Sibiu, Romania",No preferences,Olive Studio,1,Unpaid,"1. Submit a presentation video.2. Have a short interview with us, AIESEC in Sibiu.3. Have the final interview with the CEO of the start-up.","Required MySQL, PHP, HTML 5 Preferred jQuery, Wordpress, CodeIgniter, CSS, Ajax, Javascript",31-Aug-17,http://aiesec.org/opportunity/816833
177,Growth in social media impact,Required Marketing Preferred Business administration,"        Editing of travel blog posts, social media campaigns, drafting of newsletters, application for awards, filing clients database.      ",9 Weeks,17-Nov-17,No preferences,"Melissia, Greece",No preferences,WOOF CLUB,1,Unpaid,1) Apply here2) interview from AIESEC3) interview from Start Up4) Final Results,"Required Public Relations, Digital Marketing Preferred Relationship Management, Sales, Internet usage, Windows PC usage, Mac usage",11-Sep-17,http://aiesec.org/opportunity/816667
178,Planning and overseeing new marketing initiatives;,Preferred Marketing,        Conduct research to identify new markets and customer needs;Researching organisations and individuals online (especially on social media) to identify new leads and potential new markets;Researching the needs of other companies and learning who makes decisions about purchasing;Contacting potential clients via email or phone to establish rapport and set up meetings;Arrange business meetings/calls with prospective clients.      ,600 EUR per Month ,13 Weeks,No preferences,"iasi, romania","Preferred United Kingdom, Austria, Germany",Subsign,01-Sep-17,1,Computer Provided,"Required Digital Marketing, Content Marketing, Internet usage Preferred Sales, Windows PC usage",01-Dec-17,http://aiesec.org/opportunity/815498
179,Construction and diffusion of digital content.,"Preferred Graphic design, Communication & journalism, Marketing","        Digital Content Manager serves the graphic needs of Community Digital LAAAO.COM and projects carried out by the Corporacion La Astilla en el Ojo. In its work daily is involves in the creation of strategies of communication of the hand of the team creative, collaborates with the conceptualization, but is specializing in the production graphic and administration of them contained in networks social and Website.      ",Unpaid,12 Weeks,No preferences,"Pereira, Colombia","Preferred Italy, Peru, United States, Mexico, Argentina, Brazil",Corporación La Astilla en el Ojo,07-Aug-17,1,Computer Provided,"Preferred Adobe InDesign, Adobe After Effects, Digital Marketing, Community Development, Social Media Management",04-Nov-17,http://aiesec.org/opportunity/812365
180,,,,,,,,,,,,,,,http://aiesec.org/opportunity/810316
181,,,,,,,,,,,,,,,http://aiesec.org/opportunity/808994
182,"1. Creating high quality content related with Social media, Marketing and Technology","Preferred Marketing, Communication & journalism","        Sociocaster is the easiest way to FIND, PLAN and POST content that is proven to increase social media engagement on Facebook, Twitter, LinkedIn, Pinterest and Instagram.Proudly managed 4,567,359 posts from 38,318 social media accounts worldwide.And now, Sociocaster is looking for interns to collaborate together in other to strengthen the company to be able to adapt with new era and go forward by creating marketing strategy which aligned with SDGs goal number 9;      ",Unpaid,8 Weeks,No preferences,"Bandung, Indonesia","Preferred Germany, The Netherlands, United States",Sociocaster,20-Sep-17,2,Computer Provided,"Required Internet usage, Sales, Wordpress",20-Nov-17,http://aiesec.org/opportunity/805086
183,#Designer,Preferred Other,"        Project Fashion is an amazing opportunity for young children and teenagers to learn an invaluable life skill and potentially inspire them for their future careers in designer, tailer or haid-dressor style.      ",8 Weeks,22-Oct-17,No preferences,"Abidjan; Yopougon, Côte D'ivoire",No preferences,URIS Fashion,4,Unpaid,"After application, you will receive an email of certification of your applicationYou will send your CV by the mail which you will received the confirmation of your applicationIf you are selected, you will received a agenda of your interview about the opportunity, the cost of life and all about COTE D'IVOIREAfter interview, there is a second selectionAfter the selection, you will make another interview with the responsible of the projectYou can prepare yourself and come here in CÔTE D'IVOIRE","Preferred Leadership, Database design",21-Aug-17,http://aiesec.org/opportunity/804399
184,1. Ask and you will receive2. The importance of taking initiative3. You are always capable of growth4. Learn from others around you5. Don’t be afraid to fail,"Required UNIX, CSS, HTML, Ajax, Javascript, PHP, MySQL Preferred Ruby, SQL, XML",                                                                                      Preferred              Software development and programming                              ,Unpaid  ,9 Weeks,No preferences,"
    ",No preferences,"
      ",11-Sep-17,1,Computer Provided,No preferences,17-Nov-17,http://aiesec.org/opportunity/803526
185,1. Ask and you will receive2. The importance of taking initiative3. You are always capable of growth4. Learn from others around you5. Don’t be afraid to fail,Required Software development and programming Preferred Graphic design,"        The intern must be capable of developing, mantaining and upgrading web applications under specifications given by the company. Prior expereince in the field will be strongly appreciated. The web applications will be focous either in the social media sector or in the travel/ leisure sector.      ",9 Weeks,17-Nov-17,No preferences,"Athens, Greece",No preferences,Roomcase,1,Unpaid  ,,"Required UNIX, CSS, HTML, Ajax, Javascript, PHP, MySQL Preferred Ruby, SQL, XML",11-Sep-17,http://aiesec.org/opportunity/803518
186,Create an marketing campaign for the company,Preferred Marketing,"        The trainee will be the responsible for marketing of the company and managing the social medias, Increasing on numbers of access, likes, shares (FB page and site) and make improvements on customer care  and looking for new partnerships (B2B).      ",13 Weeks,04-Dec-17,No preferences,"Campo Grande, Brazil",No preferences,La Buona Cucina,1,0,"(1) Application on Opportunities -> (2) Fill the aplication form -> (3) Wait for an e-mail with the result -> (4) If approved, your CV will be sent for the company -> (5) The company interviews you -> (6) You are approved for the opportunitie.","Required Digital Marketing, Internet usage Preferred Sales, Windows PC usage",04-Sep-17,http://aiesec.org/opportunity/798757
187,Handling customer inquiries from the company’s online platform,"Required Sales, Project Management, Client servicing, Presentation skills","                                                  Required              Marketing,                                        Public relations                                                                  ",-  ,13 Weeks,No preferences,"
    ",No preferences,"
      ",30-Sep-17,1,Computer Provided,No preferences,31-Dec-17,http://aiesec.org/opportunity/798586
188,-,Preferred Marketing,"        MAIN ACTIVITIES:Create the marketing and do the market research for the company- Evaluate the Marketing Mix (Price, Place, Product, Promotion)- Analize the main trends of the market and capitalize the opportunities derivated from it- Position the company in the local / regional / national market-Web Marketing-Design      ",Unpaid,13 Weeks,No preferences,"Arequipa, Perú","Preferred Argentina, Mexico, Colombia, Brazil",CONAFOVICER,03-Oct-17,1,Computer Provided,"Required Sales Preferred Adobe Illustrator, Photoshop",03-Jan-18,http://aiesec.org/opportunity/797792
189,Development and management of Projects,"Required International relations, Business administration",        Description- External research of trends and international market analysis for the focused sector;- Research of sector for partners/strategic alliances and competitors analyzes based on key success factors;- Marketing mix definition for international market;- Translation of international marketing materials for strategies;- Report from project and operational plan for internationalization and sales implementation.IT IS AN UNPAID OPPORTUNITY      ,11 Weeks,27-Jan-18,No preferences,"Florianópolis, Brazil",No preferences,FLIN,1,Unpaid,The candidate will make an video and an interview with AIESEC Florianópolis,"Required Sales, Training",10-Nov-17,http://aiesec.org/opportunity/796522
190,Marketing strategies Cultural environment,Required Marketing,"        In a world dominated by virtual means, people are now closer to their favorite brands, where companies must understand and know how to be present 24 hours a day, 7 days to win customers is our passion in Dardo Creative, establish and strengthen communication links between users and the brand, we have the tools to hit the target.      ",13 Weeks,20-Dec-17,No preferences,"BUCARAMANGA, COLOMBIA",No preferences,DARDO CREATIVO,1,not salary  ,,Preferred Sales,19-Sep-17,http://aiesec.org/opportunity/793500
191,Improve communication skills- Knowledge about it service market- Knowledge on how a startup works- Selling skills improved- Understand portugal and portuguese culture,"Preferred Presentation skills, Leadership, Project Management, Sales, Windows PC usage","                                                                                      Preferred              Business administration,                                        Marketing                              ",Unpaid  ,12 Weeks,No preferences,"
    ",No preferences,"
      ",01-Sep-17,1,Computer Provided,No preferences,24-Nov-17,http://aiesec.org/opportunity/787568
192,1. Manage the process of on boarding e-commerce stores,"Preferred Project Management, Sales",                                                                                      Preferred              Marketing                              ,Unpaid MYR per Month ,13 Weeks,No preferences,"
    ",No preferences,"
      ",30-Sep-17,1,Computer Provided,No preferences,31-Dec-17,http://aiesec.org/opportunity/786738
